segment_id	start_time_seconds	end_time_seconds	label
-THl_72tO8I_4000	3.807	4.807	/t/dd00002
-THl_72tO8I_4000	4.807	5.807	/t/dd00002
-THl_72tO8I_4000	5.807	6.338	/t/dd00002
006SLC2yxCk_2000	0.0	0.29	/t/dd00002
2OHsowwcOF8_50000	6.665	7.665	/t/dd00002
2OHsowwcOF8_50000	7.665	8.665	/t/dd00002
2OHsowwcOF8_50000	8.665	9.386	/t/dd00002
2OHsowwcOF8_50000	9.504	10.0	/t/dd00002
3yCuFp1pz2c_140000	0.0	0.573	/t/dd00002
3yCuFp1pz2c_140000	1.044	2.044	/t/dd00002
3yCuFp1pz2c_140000	2.044	3.044	/t/dd00002
3yCuFp1pz2c_140000	3.044	4.0440000000000005	/t/dd00002
3yCuFp1pz2c_140000	3.106	4.106	/t/dd00002
3yCuFp1pz2c_140000	4.599	5.599	/t/dd00002
3yCuFp1pz2c_140000	5.599	6.599	/t/dd00002
3yCuFp1pz2c_140000	5.628	6.628	/t/dd00002
3yCuFp1pz2c_140000	7.58	8.58	/t/dd00002
3yCuFp1pz2c_140000	8.58	9.58	/t/dd00002
3yCuFp1pz2c_140000	9.0	10.0	/t/dd00002
7obYklU0KQM_30000	0.008	0.236	/t/dd00002
7obYklU0KQM_30000	0.545	1.545	/t/dd00002
7obYklU0KQM_30000	0.583	1.583	/t/dd00002
7obYklU0KQM_30000	1.782	2.782	/t/dd00002
7obYklU0KQM_30000	2.782	3.343	/t/dd00002
DHkcphUwLyU_0	3.008	4.008	/t/dd00002
DHkcphUwLyU_0	3.0709999999999997	4.071	/t/dd00002
DT1WrAVRtX8_20000	9.661	10.0	/t/dd00002
ESM5iFLydek_130000	8.394	9.394	/t/dd00002
ESM5iFLydek_130000	8.528	9.528	/t/dd00002
ESM5iFLydek_130000	9.646	9.787	/t/dd00002
ESM5iFLydek_130000	9.929	10.0	/t/dd00002
GPcchoq8v50_0	0.612	1.612	/t/dd00002
GPcchoq8v50_0	1.612	2.612	/t/dd00002
GPcchoq8v50_0	2.612	3.459	/t/dd00002
G_g8PTgg95M_24000	0.0	0.502	/t/dd00002
G_g8PTgg95M_24000	3.546	4.197	/t/dd00002
G_g8PTgg95M_24000	7.153	7.519	/t/dd00002
Gbdm6UbWl4o_10000	0.0	1.0	/t/dd00002
Gbdm6UbWl4o_10000	1.0	2.0	/t/dd00002
Gbdm6UbWl4o_10000	1.217	2.217	/t/dd00002
Gbdm6UbWl4o_10000	2.36	3.243	/t/dd00002
Gbdm6UbWl4o_10000	3.453	4.452999999999999	/t/dd00002
Gbdm6UbWl4o_10000	3.532	4.532	/t/dd00002
Gbdm6UbWl4o_10000	5.154	6.154	/t/dd00002
Gbdm6UbWl4o_10000	6.154	7.154	/t/dd00002
Gbdm6UbWl4o_10000	7.154	8.154	/t/dd00002
Gbdm6UbWl4o_10000	8.154	9.154	/t/dd00002
Gbdm6UbWl4o_10000	9.154	10.0	/t/dd00002
IngI-SUImbw_50000	0.436	1.436	/t/dd00002
IngI-SUImbw_50000	1.436	1.95	/t/dd00002
IngI-SUImbw_50000	2.294	2.569	/t/dd00002
IngI-SUImbw_50000	3.085	4.085	/t/dd00002
IngI-SUImbw_50000	4.085	4.69	/t/dd00002
IngI-SUImbw_50000	5.115	5.424	/t/dd00002
IngI-SUImbw_50000	5.917	6.917	/t/dd00002
IngI-SUImbw_50000	6.917	7.58	/t/dd00002
Jf4VEKgiNw8_5000	8.397	9.028	/t/dd00002
Pf6nR7ihQjs_16000	0.0	1.0	/t/dd00002
Pf6nR7ihQjs_16000	1.0	2.0	/t/dd00002
Pf6nR7ihQjs_16000	1.1800000000000002	2.18	/t/dd00002
Pf6nR7ihQjs_16000	2.277	2.502	/t/dd00002
Pf6nR7ihQjs_16000	2.685	3.685	/t/dd00002
Pf6nR7ihQjs_16000	3.685	4.6850000000000005	/t/dd00002
Pf6nR7ihQjs_16000	4.6850000000000005	5.6850000000000005	/t/dd00002
Pf6nR7ihQjs_16000	5.6850000000000005	6.6850000000000005	/t/dd00002
Pf6nR7ihQjs_16000	6.6850000000000005	7.6850000000000005	/t/dd00002
Pf6nR7ihQjs_16000	7.6850000000000005	8.685	/t/dd00002
Pf6nR7ihQjs_16000	8.685	9.194	/t/dd00002
VulZxeOeHyg_100000	0.008	1.008	/t/dd00002
VulZxeOeHyg_100000	1.008	1.849	/t/dd00002
VulZxeOeHyg_100000	1.959	2.879	/t/dd00002
VulZxeOeHyg_100000	2.953	3.953	/t/dd00002
VulZxeOeHyg_100000	3.234	4.234	/t/dd00002
VulZxeOeHyg_100000	4.477	5.477	/t/dd00002
VulZxeOeHyg_100000	4.84	5.84	/t/dd00002
VulZxeOeHyg_100000	5.994	6.994	/t/dd00002
VulZxeOeHyg_100000	6.018	7.018	/t/dd00002
VulZxeOeHyg_100000	7.231	8.231	/t/dd00002
VulZxeOeHyg_100000	7.314	8.314	/t/dd00002
VulZxeOeHyg_100000	8.469	9.175	/t/dd00002
VulZxeOeHyg_100000	9.315	9.882	/t/dd00002
gwCWdiQrQC8_30000	7.355	7.52	/t/dd00002
nYpQlXsdaxg_30000	9.882	10.0	/t/dd00002
qLERE37f0JQ_0	0.0	0.569	/t/dd00002
xjiXiE65VMc_30000	0.0	0.605	/t/dd00002
xjiXiE65VMc_30000	0.737	1.394	/t/dd00002
xjiXiE65VMc_30000	1.497	2.12	/t/dd00002
xjiXiE65VMc_30000	3.779	4.326	/t/dd00002
xjiXiE65VMc_30000	5.999	6.67	/t/dd00002
xjiXiE65VMc_30000	6.774	7.514	/t/dd00002
xjiXiE65VMc_30000	7.625	8.282	/t/dd00002
xjiXiE65VMc_30000	8.351	8.987	/t/dd00002
xjiXiE65VMc_30000	9.118	9.72	/t/dd00002
xjiXiE65VMc_30000	9.845	10.0	/t/dd00002
y-8h7ozmWSA_0	0.666	1.293	/t/dd00002
y-8h7ozmWSA_0	4.2	4.725	/t/dd00002
y-8h7ozmWSA_0	7.567	8.067	/t/dd00002
y-8h7ozmWSA_0	8.963	9.462	/t/dd00002
y-8h7ozmWSA_0	9.834	10.0	/t/dd00002
y8ZoKo0qy0c_25000	0.0	1.0	/t/dd00002
y8ZoKo0qy0c_25000	1.0	2.0	/t/dd00002
y8ZoKo0qy0c_25000	2.0	3.0	/t/dd00002
y8ZoKo0qy0c_25000	2.422	3.422	/t/dd00002
yOpYiaqPwwQ_4000	0.0	0.087	/t/dd00002
yOpYiaqPwwQ_4000	0.331	1.331	/t/dd00002
yOpYiaqPwwQ_4000	1.331	2.282	/t/dd00002
yOpYiaqPwwQ_4000	2.532	3.149	/t/dd00002
yOpYiaqPwwQ_4000	3.38	3.701	/t/dd00002
