segment_id	start_time_seconds	end_time_seconds	label
--EnKcYsPas_210000	1.474	2.474	/t/dd00002
--EnKcYsPas_210000	2.474	3.474	/t/dd00002
--EnKcYsPas_210000	2.777	3.777	/t/dd00002
--EnKcYsPas_210000	4.34	5.144	/t/dd00002
--EnKcYsPas_210000	5.426	6.361	/t/dd00002
--EnKcYsPas_210000	7.067	8.045	/t/dd00002
--EnKcYsPas_210000	8.212	8.729	/t/dd00002
-0rk3mZ7EbU_200000	1.511	2.061	/t/dd00002
-0rk3mZ7EbU_200000	2.548	2.945	/t/dd00002
-0rk3mZ7EbU_200000	8.515	8.72	/t/dd00002
-3UBJIEYKVg_20000	7.543	8.543	/t/dd00002
-3UBJIEYKVg_20000	8.543	9.146	/t/dd00002
-d7tBjntkW8_30000	9.441	10.0	/t/dd00002
-mWlPBrRDug_480000	0.0	0.136	/t/dd00002
-mWlPBrRDug_480000	0.38	1.308	/t/dd00002
-mWlPBrRDug_480000	2.709	3.709	/t/dd00002
-mWlPBrRDug_480000	2.751	3.751	/t/dd00002
-mWlPBrRDug_480000	5.071	6.071	/t/dd00002
-mWlPBrRDug_480000	6.071	7.071	/t/dd00002
-mWlPBrRDug_480000	6.204	7.204	/t/dd00002
-yv45deDQ8A_9000	7.281	8.23	/t/dd00002
006SLC2yxCk_2000	9.12	9.77	/t/dd00002
07m3-FOJQ-Q_10000	0.0	1.0	/t/dd00002
07m3-FOJQ-Q_10000	1.0	1.793	/t/dd00002
07m3-FOJQ-Q_10000	2.204	3.204	/t/dd00002
07m3-FOJQ-Q_10000	2.226	3.226	/t/dd00002
07m3-FOJQ-Q_10000	3.548	4.087	/t/dd00002
07m3-FOJQ-Q_10000	4.673	5.27	/t/dd00002
07m3-FOJQ-Q_10000	5.626	6.096	/t/dd00002
07m3-FOJQ-Q_10000	6.338	6.716	/t/dd00002
07m3-FOJQ-Q_10000	6.969	7.532	/t/dd00002
07m3-FOJQ-Q_10000	7.773	8.622	/t/dd00002
07m3-FOJQ-Q_10000	9.036	10.0	/t/dd00002
0UGnOcN0Ln8_30000	0.0	1.0	/t/dd00002
0UGnOcN0Ln8_30000	1.0	1.742	/t/dd00002
0UGnOcN0Ln8_30000	1.907	2.457	/t/dd00002
0UGnOcN0Ln8_30000	2.567	3.567	/t/dd00002
0UGnOcN0Ln8_30000	3.567	4.278	/t/dd00002
0UGnOcN0Ln8_30000	4.519	5.144	/t/dd00002
0UGnOcN0Ln8_30000	5.344	5.845	/t/dd00002
0UGnOcN0Ln8_30000	5.962	6.773	/t/dd00002
0UGnOcN0Ln8_30000	7.392	8.392	/t/dd00002
0UGnOcN0Ln8_30000	8.392	9.392	/t/dd00002
0UGnOcN0Ln8_30000	9.392	10.0	/t/dd00002
0lB-Of-KGUo_30000	0.0	0.541	/t/dd00002
0qHPAnVRu88_20000	0.0	0.435	/t/dd00002
0qHPAnVRu88_20000	1.268	1.716	/t/dd00002
0qHPAnVRu88_20000	2.356	3.188	/t/dd00002
0qHPAnVRu88_20000	3.342	4.3420000000000005	/t/dd00002
0qHPAnVRu88_20000	3.4690000000000003	4.469	/t/dd00002
0qHPAnVRu88_20000	6.837	7.837	/t/dd00002
0qHPAnVRu88_20000	6.913	7.913	/t/dd00002
0qHPAnVRu88_20000	8.515	8.924	/t/dd00002
0qHPAnVRu88_20000	9.513	10.0	/t/dd00002
0qlMC4f7vVo_12000	0.392	1.392	/t/dd00002
0qlMC4f7vVo_12000	0.484	1.484	/t/dd00002
0qlMC4f7vVo_12000	1.724	2.659	/t/dd00002
0qlMC4f7vVo_12000	3.03	4.029999999999999	/t/dd00002
0qlMC4f7vVo_12000	4.029999999999999	5.029999999999999	/t/dd00002
0qlMC4f7vVo_12000	5.029999999999999	5.915	/t/dd00002
0qlMC4f7vVo_12000	6.121	7.121	/t/dd00002
0qlMC4f7vVo_12000	7.121	8.121	/t/dd00002
0qlMC4f7vVo_12000	8.121	9.121	/t/dd00002
0qlMC4f7vVo_12000	8.13	9.13	/t/dd00002
17OYFHLivQk_24000	4.184	5.184	/t/dd00002
17OYFHLivQk_24000	5.184	6.184	/t/dd00002
17OYFHLivQk_24000	5.194	6.194	/t/dd00002
17OYFHLivQk_24000	6.675	7.675	/t/dd00002
17OYFHLivQk_24000	7.134	8.134	/t/dd00002
1Dfo-5oDf5k_50000	2.369	3.369	/t/dd00002
1Dfo-5oDf5k_50000	3.369	4.369	/t/dd00002
1Dfo-5oDf5k_50000	3.425	4.425	/t/dd00002
1SA3fcQaO_c_8000	6.527	6.844	/t/dd00002
1TP1z-Y2fmc_0	7.916	8.916	/t/dd00002
1TP1z-Y2fmc_0	8.225	9.225	/t/dd00002
1TP1z-Y2fmc_0	9.375	10.0	/t/dd00002
1nYevjqjZmo_30000	8.624	9.624	/t/dd00002
1nYevjqjZmo_30000	9.0	10.0	/t/dd00002
1u0Ww4Yed-c_40000	0.0	1.0	/t/dd00002
1u0Ww4Yed-c_40000	1.0	2.0	/t/dd00002
1u0Ww4Yed-c_40000	2.0	3.0	/t/dd00002
1u0Ww4Yed-c_40000	2.295	3.295	/t/dd00002
1u0Ww4Yed-c_40000	4.04	5.04	/t/dd00002
1u0Ww4Yed-c_40000	4.507	5.507	/t/dd00002
1u0Ww4Yed-c_40000	5.716	6.716	/t/dd00002
1u0Ww4Yed-c_40000	6.716	7.716	/t/dd00002
1u0Ww4Yed-c_40000	7.716	8.716000000000001	/t/dd00002
1u0Ww4Yed-c_40000	8.716000000000001	9.716000000000001	/t/dd00002
1u0Ww4Yed-c_40000	9.0	10.0	/t/dd00002
26yyv3N4adw_30000	6.597	7.223	/t/dd00002
2A7YfsS8Bhk_24000	0.0	1.0	/t/dd00002
2A7YfsS8Bhk_24000	1.0	2.0	/t/dd00002
2A7YfsS8Bhk_24000	2.0	2.805	/t/dd00002
2A7YfsS8Bhk_24000	3.498	4.498	/t/dd00002
2A7YfsS8Bhk_24000	3.582	4.582	/t/dd00002
2A7YfsS8Bhk_24000	5.029	6.029	/t/dd00002
2A7YfsS8Bhk_24000	5.046	6.046	/t/dd00002
2A7YfsS8Bhk_24000	7.554	8.554	/t/dd00002
2A7YfsS8Bhk_24000	8.554	9.554	/t/dd00002
2A7YfsS8Bhk_24000	8.599	9.599	/t/dd00002
2BYz4JW2eVs_19000	0.705	1.236	/t/dd00002
2BYz4JW2eVs_19000	1.836	2.8360000000000003	/t/dd00002
2BYz4JW2eVs_19000	1.8820000000000001	2.882	/t/dd00002
2OHsowwcOF8_50000	0.0	1.0	/t/dd00002
2OHsowwcOF8_50000	1.0	2.0	/t/dd00002
2OHsowwcOF8_50000	2.0	3.0	/t/dd00002
2OHsowwcOF8_50000	3.0	4.0	/t/dd00002
2OHsowwcOF8_50000	4.0	5.0	/t/dd00002
2OHsowwcOF8_50000	5.0	6.0	/t/dd00002
2OHsowwcOF8_50000	5.397	6.397	/t/dd00002
2QNoap2ntbQ_450000	6.008	7.008	/t/dd00002
