segment_id	start_time_seconds	end_time_seconds	label
-THl_72tO8I_4000	3.807	6.338	/t/dd00002
006SLC2yxCk_2000	0.0	0.29	/t/dd00002
2OHsowwcOF8_50000	6.665	9.386	/t/dd00002
2OHsowwcOF8_50000	9.504	10.0	/t/dd00002
3yCuFp1pz2c_140000	0.0	0.573	/t/dd00002
3yCuFp1pz2c_140000	1.044	4.106	/t/dd00002
3yCuFp1pz2c_140000	4.599	6.628	/t/dd00002
3yCuFp1pz2c_140000	7.58	10.0	/t/dd00002
7obYklU0KQM_30000	0.008	0.236	/t/dd00002
7obYklU0KQM_30000	0.545	1.583	/t/dd00002
7obYklU0KQM_30000	1.782	3.343	/t/dd00002
DHkcphUwLyU_0	3.008	4.071	/t/dd00002
DT1WrAVRtX8_20000	9.661	10.0	/t/dd00002
ESM5iFLydek_130000	8.394	9.528	/t/dd00002
ESM5iFLydek_130000	9.646	9.787	/t/dd00002
ESM5iFLydek_130000	9.929	10.0	/t/dd00002
GPcchoq8v50_0	0.612	3.459	/t/dd00002
G_g8PTgg95M_24000	0.0	0.502	/t/dd00002
G_g8PTgg95M_24000	3.546	4.197	/t/dd00002
G_g8PTgg95M_24000	7.153	7.519	/t/dd00002
Gbdm6UbWl4o_10000	0.0	2.217	/t/dd00002
Gbdm6UbWl4o_10000	2.36	3.243	/t/dd00002
Gbdm6UbWl4o_10000	3.453	4.532	/t/dd00002
Gbdm6UbWl4o_10000	5.154	10.0	/t/dd00002
IngI-SUImbw_50000	0.436	1.95	/t/dd00002
IngI-SUImbw_50000	2.294	2.569	/t/dd00002
IngI-SUImbw_50000	3.085	4.69	/t/dd00002
IngI-SUImbw_50000	5.115	5.424	/t/dd00002
IngI-SUImbw_50000	5.917	7.58	/t/dd00002
Jf4VEKgiNw8_5000	8.397	9.028	/t/dd00002
Pf6nR7ihQjs_16000	0.0	2.18	/t/dd00002
Pf6nR7ihQjs_16000	2.277	2.502	/t/dd00002
Pf6nR7ihQjs_16000	2.685	9.194	/t/dd00002
VulZxeOeHyg_100000	0.008	1.849	/t/dd00002
VulZxeOeHyg_100000	1.959	2.879	/t/dd00002
VulZxeOeHyg_100000	2.953	4.234	/t/dd00002
VulZxeOeHyg_100000	4.477	5.84	/t/dd00002
VulZxeOeHyg_100000	5.994	7.018	/t/dd00002
VulZxeOeHyg_100000	7.231	8.314	/t/dd00002
VulZxeOeHyg_100000	8.469	9.175	/t/dd00002
VulZxeOeHyg_100000	9.315	9.882	/t/dd00002
gwCWdiQrQC8_30000	7.355	7.52	/t/dd00002
nYpQlXsdaxg_30000	9.882	10.0	/t/dd00002
qLERE37f0JQ_0	0.0	0.569	/t/dd00002
xjiXiE65VMc_30000	0.0	0.605	/t/dd00002
xjiXiE65VMc_30000	0.737	1.394	/t/dd00002
xjiXiE65VMc_30000	1.497	2.12	/t/dd00002
xjiXiE65VMc_30000	3.779	4.326	/t/dd00002
xjiXiE65VMc_30000	5.999	6.67	/t/dd00002
xjiXiE65VMc_30000	6.774	7.514	/t/dd00002
xjiXiE65VMc_30000	7.625	8.282	/t/dd00002
xjiXiE65VMc_30000	8.351	8.987	/t/dd00002
xjiXiE65VMc_30000	9.118	9.72	/t/dd00002
xjiXiE65VMc_30000	9.845	10.0	/t/dd00002
y-8h7ozmWSA_0	0.666	1.293	/t/dd00002
y-8h7ozmWSA_0	4.2	4.725	/t/dd00002
y-8h7ozmWSA_0	7.567	8.067	/t/dd00002
y-8h7ozmWSA_0	8.963	9.462	/t/dd00002
y-8h7ozmWSA_0	9.834	10.0	/t/dd00002
y8ZoKo0qy0c_25000	0.0	3.422	/t/dd00002
yOpYiaqPwwQ_4000	0.0	0.087	/t/dd00002
yOpYiaqPwwQ_4000	0.331	2.282	/t/dd00002
yOpYiaqPwwQ_4000	2.532	3.149	/t/dd00002
yOpYiaqPwwQ_4000	3.38	3.701	/t/dd00002
