segment_id	start_time_seconds	end_time_seconds	label
--EnKcYsPas_210000	1.474	3.777	/t/dd00002
--EnKcYsPas_210000	4.34	5.144	/t/dd00002
--EnKcYsPas_210000	5.426	6.361	/t/dd00002
--EnKcYsPas_210000	7.067	8.045	/t/dd00002
--EnKcYsPas_210000	8.212	8.729	/t/dd00002
-0rk3mZ7EbU_200000	1.511	2.061	/t/dd00002
-0rk3mZ7EbU_200000	2.548	2.945	/t/dd00002
-0rk3mZ7EbU_200000	8.515	8.72	/t/dd00002
-3UBJIEYKVg_20000	7.543	9.146	/t/dd00002
-d7tBjntkW8_30000	9.441	10.0	/t/dd00002
-mWlPBrRDug_480000	0.0	0.136	/t/dd00002
-mWlPBrRDug_480000	0.38	1.308	/t/dd00002
-mWlPBrRDug_480000	2.709	3.751	/t/dd00002
-mWlPBrRDug_480000	5.071	7.204	/t/dd00002
-yv45deDQ8A_9000	7.281	8.23	/t/dd00002
006SLC2yxCk_2000	9.12	9.77	/t/dd00002
07m3-FOJQ-Q_10000	0.0	1.793	/t/dd00002
07m3-FOJQ-Q_10000	2.204	3.226	/t/dd00002
07m3-FOJQ-Q_10000	3.548	4.087	/t/dd00002
07m3-FOJQ-Q_10000	4.673	5.27	/t/dd00002
07m3-FOJQ-Q_10000	5.626	6.096	/t/dd00002
07m3-FOJQ-Q_10000	6.338	6.716	/t/dd00002
07m3-FOJQ-Q_10000	6.969	7.532	/t/dd00002
07m3-FOJQ-Q_10000	7.773	8.622	/t/dd00002
07m3-FOJQ-Q_10000	9.036	10.0	/t/dd00002
0UGnOcN0Ln8_30000	0.0	1.742	/t/dd00002
0UGnOcN0Ln8_30000	1.907	2.457	/t/dd00002
0UGnOcN0Ln8_30000	2.567	4.278	/t/dd00002
0UGnOcN0Ln8_30000	4.519	5.144	/t/dd00002
0UGnOcN0Ln8_30000	5.344	5.845	/t/dd00002
0UGnOcN0Ln8_30000	5.962	6.773	/t/dd00002
0UGnOcN0Ln8_30000	7.392	10.0	/t/dd00002
0lB-Of-KGUo_30000	0.0	0.541	/t/dd00002
0qHPAnVRu88_20000	0.0	0.435	/t/dd00002
0qHPAnVRu88_20000	1.268	1.716	/t/dd00002
0qHPAnVRu88_20000	2.356	3.188	/t/dd00002
0qHPAnVRu88_20000	3.342	4.469	/t/dd00002
0qHPAnVRu88_20000	6.837	7.913	/t/dd00002
0qHPAnVRu88_20000	8.515	8.924	/t/dd00002
0qHPAnVRu88_20000	9.513	10.0	/t/dd00002
0qlMC4f7vVo_12000	0.392	1.484	/t/dd00002
0qlMC4f7vVo_12000	1.724	2.659	/t/dd00002
0qlMC4f7vVo_12000	3.03	5.915	/t/dd00002
