segment_id	start_time_seconds	end_time_seconds	label
052BOxtN3G0_130000	0.015	0.523	/m/032s66
052BOxtN3G0_130000	1.053	1.576	/m/032s66
052BOxtN3G0_130000	8.955	9.779	/m/032s66
06-g5jz-OGc_20000	0.0	0.236	/m/04zjc
06-g5jz-OGc_20000	0.409	0.559	/m/032s66
06-g5jz-OGc_20000	4.85	5.181	/m/04zjc
06-g5jz-OGc_20000	5.315	5.882	/m/04zjc
06-g5jz-OGc_20000	6.024	7.024	/m/04zjc
06-g5jz-OGc_20000	7.024	8.024000000000001	/m/04zjc
06-g5jz-OGc_20000	8.024000000000001	9.024000000000001	/m/04zjc
06-g5jz-OGc_20000	9.024000000000001	10.0	/m/04zjc
0S4hnlDVZ0g_0	0.147	1.147	/m/032s66
0S4hnlDVZ0g_0	1.147	2.1470000000000002	/m/032s66
0S4hnlDVZ0g_0	2.147	3.147	/m/032s66
0S4hnlDVZ0g_0	3.147	4.0	/m/032s66
0wOWAMJAYFo_50000	1.76	2.221	/m/032s66
10a2BsqFnyM_200000	7.329	8.329	/m/032s66
10a2BsqFnyM_200000	7.819000000000001	8.819	/m/032s66
2R-LER60cTU_30000	0.472	0.701	/m/032s66
3AWUaEtoosk_30000	0.098	1.098	/m/032s66
3AWUaEtoosk_30000	0.536	1.536	/m/032s66
3AWUaEtoosk_30000	1.83	2.109	/m/032s66
3HS62RqcXZ0_30000	0.0	1.0	/m/04zjc
3HS62RqcXZ0_30000	1.0	2.0	/m/04zjc
3HS62RqcXZ0_30000	2.0	3.0	/m/04zjc
3HS62RqcXZ0_30000	3.0	4.0	/m/04zjc
3HS62RqcXZ0_30000	4.0	5.0	/m/04zjc
3HS62RqcXZ0_30000	5.0	6.0	/m/04zjc
3HS62RqcXZ0_30000	6.0	7.0	/m/04zjc
3HS62RqcXZ0_30000	7.0	8.0	/m/04zjc
3HS62RqcXZ0_30000	8.0	9.0	/m/04zjc
3HS62RqcXZ0_30000	9.0	10.0	/m/04zjc
4T2sS5ipPO8_270000	2.937	3.937	/m/04zjc
4T2sS5ipPO8_270000	3.937	4.936999999999999	/m/04zjc
4T2sS5ipPO8_270000	4.936999999999999	5.936999999999999	/m/04zjc
4T2sS5ipPO8_270000	5.936999999999999	6.936999999999999	/m/04zjc
4T2sS5ipPO8_270000	6.299	7.299	/m/04zjc
4cpEv-3epJI_0	2.748	3.748	/m/04zjc
4cpEv-3epJI_0	3.748	4.748	/m/04zjc
4cpEv-3epJI_0	3.9240000000000004	4.924	/m/04zjc
4oLGWPSXlKs_20000	0.741	1.741	/m/032s66
4oLGWPSXlKs_20000	1.741	2.482	/m/032s66
4rMeV-zdgfg_30000	7.669	7.872	/m/032s66
5Mhx9k5DE7A_170000	7.355	8.355	/m/032s66
5Mhx9k5DE7A_170000	8.355	9.355	/m/032s66
5Mhx9k5DE7A_170000	9.355	10.0	/m/032s66
5NdGjCUrDW8_0	0.138	0.967	/m/04zjc
5_2cX0MOyfQ_150000	2.684	3.684	/m/032s66
5_2cX0MOyfQ_150000	3.684	4.684	/m/032s66
5_2cX0MOyfQ_150000	4.684	5.189	/m/032s66
5_2cX0MOyfQ_150000	9.074	9.2	/m/073cg4
5sFNXRvMbIg_30000	0.0	1.0	/m/04zjc
5sFNXRvMbIg_30000	1.0	2.0	/m/04zjc
5sFNXRvMbIg_30000	2.0	3.0	/m/04zjc
5sFNXRvMbIg_30000	3.0	4.0	/m/04zjc
5sFNXRvMbIg_30000	4.0	5.0	/m/04zjc
5sFNXRvMbIg_30000	5.0	6.0	/m/04zjc
5sFNXRvMbIg_30000	6.0	7.0	/m/04zjc
5sFNXRvMbIg_30000	7.0	8.0	/m/04zjc
5sFNXRvMbIg_30000	8.0	9.0	/m/04zjc
5sFNXRvMbIg_30000	9.0	10.0	/m/04zjc
66BGqdxWVsE_0	0.225	1.225	/m/032s66
66BGqdxWVsE_0	1.225	2.225	/m/032s66
66BGqdxWVsE_0	2.225	2.889	/m/032s66
66BGqdxWVsE_0	3.052	4.052	/m/032s66
66BGqdxWVsE_0	4.052	4.782	/m/032s66
6kLMxmflLLQ_30000	5.922	6.153	/m/032s66
6yas2rnGjlM_30000	5.31	5.803	/m/032s66
76yqRLm1eRI_7000	3.612	4.612	/m/032s66
76yqRLm1eRI_7000	3.8129999999999997	4.813	/m/032s66
8QOCOi3sm-E_30000	0.753	1.135	/m/032s66
8QOCOi3sm-E_30000	1.273	2.085	/m/032s66
8eQxKfJApNM_10000	4.508	4.708	/m/032s66
8eQxKfJApNM_10000	8.417	8.616	/m/032s66
8eQxKfJApNM_10000	8.802	8.973	/m/032s66
9BK3VKfa3qE_6000	0.986	1.615	/m/032s66
9GptFm2hTvI_2000	0.901	1.366	/m/032s66
9HqreasyRf8_0	1.785	2.785	/m/032s66
9HqreasyRf8_0	2.785	3.785	/m/032s66
9HqreasyRf8_0	3.2830000000000004	4.283	/m/032s66
Au5NjQaR_T0_340000	4.425	4.587	/m/073cg4
B30DxKc3vVQ_30000	7.494	8.494	/m/032s66
B30DxKc3vVQ_30000	8.494	9.494	/m/032s66
B30DxKc3vVQ_30000	9.494	10.0	/m/032s66
B30DxKc3vVQ_30000	8.33	9.33	/m/04zjc
B30DxKc3vVQ_30000	8.53	9.53	/m/04zjc
Bpao4M5dNsU_12000	1.121	2.121	/m/04zjc
Bpao4M5dNsU_12000	1.2440000000000002	2.244	/m/04zjc
Bpao4M5dNsU_12000	2.78	3.183	/m/04zjc
Bpao4M5dNsU_12000	6.647	7.647	/m/04zjc
Bpao4M5dNsU_12000	7.647	8.647	/m/04zjc
Bpao4M5dNsU_12000	7.769	8.769	/m/04zjc
C_8JbROCA7s_30000	0.192	0.41	/m/032s66
C_8JbROCA7s_30000	0.55	0.691	/m/032s66
Cjg0Yy1Q4FU_30000	3.575	3.843	/m/032s66
D1cBJyZNkns_50000	0.0	0.197	/m/032s66
D1cBJyZNkns_50000	0.299	0.709	/m/032s66
D1cBJyZNkns_50000	1.173	2.173	/m/032s66
D1cBJyZNkns_50000	2.173	3.173	/m/032s66
D1cBJyZNkns_50000	3.173	3.701	/m/032s66
D1cBJyZNkns_50000	3.811	4.811	/m/032s66
D1cBJyZNkns_50000	4.811	5.551	/m/032s66
E0aHOpSmsjA_350000	5.228	5.614	/m/032s66
EcXqC-0Z8i8_160000	6.78	7.78	/m/073cg4
EcXqC-0Z8i8_160000	7.78	8.780000000000001	/m/073cg4
EcXqC-0Z8i8_160000	8.780000000000001	9.780000000000001	/m/073cg4
EcXqC-0Z8i8_160000	9.0	10.0	/m/073cg4
EcwfO5SpFdA_60000	0.0	1.0	/m/04zjc
EcwfO5SpFdA_60000	1.0	2.0	/m/04zjc
EcwfO5SpFdA_60000	2.0	3.0	/m/04zjc
EcwfO5SpFdA_60000	3.0	4.0	/m/04zjc
EcwfO5SpFdA_60000	4.0	5.0	/m/04zjc
EcwfO5SpFdA_60000	5.0	6.0	/m/04zjc
EcwfO5SpFdA_60000	6.0	7.0	/m/04zjc
EcwfO5SpFdA_60000	7.0	8.0	/m/04zjc
EcwfO5SpFdA_60000	8.0	9.0	/m/04zjc
EcwfO5SpFdA_60000	9.0	10.0	/m/04zjc
FAGmm-dNfnw_30000	7.047	8.047	/m/04zjc
FAGmm-dNfnw_30000	8.047	9.047	/m/04zjc
FAGmm-dNfnw_30000	9.047	10.0	/m/04zjc
FnTLC9YCPeo_130000	0.943	1.943	/m/032s66
FnTLC9YCPeo_130000	1.943	2.548	/m/032s66
FnTLC9YCPeo_130000	5.295	6.295	/m/032s66
FnTLC9YCPeo_130000	5.576	6.576	/m/032s66
FnTLC9YCPeo_130000	8.343	9.043	/m/032s66
FnTLC9YCPeo_130000	9.139	10.0	/m/032s66
Gi2hxPsU8d8_0	5.744	6.727	/m/032s66
IGfhG3kF1RY_4000	5.172	6.172	/m/032s66
IGfhG3kF1RY_4000	5.565	6.565	/m/032s66
IGfhG3kF1RY_4000	6.735	7.735	/m/032s66
IGfhG3kF1RY_4000	6.867	7.867	/m/032s66
IhkpGd4cuss_19000	3.332	4.098	/m/032s66
IhkpGd4cuss_19000	4.34	5.196	/m/032s66
IhkpGd4cuss_19000	5.323	6.204	/m/032s66
IhkpGd4cuss_19000	6.344	7.161	/m/032s66
IhkpGd4cuss_19000	7.34	8.183	/m/032s66
JHCmkLO5Do8_140000	0.0	1.0	/m/04zjc
JHCmkLO5Do8_140000	1.0	2.0	/m/04zjc
JHCmkLO5Do8_140000	2.0	3.0	/m/04zjc
JHCmkLO5Do8_140000	3.0	4.0	/m/04zjc
JHCmkLO5Do8_140000	4.0	5.0	/m/04zjc
JHCmkLO5Do8_140000	5.0	6.0	/m/04zjc
JHCmkLO5Do8_140000	6.0	7.0	/m/04zjc
JHCmkLO5Do8_140000	7.0	8.0	/m/04zjc
JHCmkLO5Do8_140000	7.0440000000000005	8.044	/m/04zjc
JgqMf7_msjs_580000	9.036	9.783	/m/04zjc
Jy98Qu1T0lo_0	1.713	2.507	/m/032s66
Jy98Qu1T0lo_0	2.605	3.326	/m/032s66
Jy98Qu1T0lo_0	3.405	4.152	/m/032s66
Jy98Qu1T0lo_0	4.252	4.973	/m/032s66
KfAWJOxtUyA_0	4.168	5.168	/m/04zjc
KfAWJOxtUyA_0	5.168	5.962	/m/04zjc
KwySwOCTHo8_0	0.181	1.181	/m/032s66
KwySwOCTHo8_0	0.6459999999999999	1.646	/m/032s66
LMGzDwYCT3E_0	6.789	7.28	/m/032s66
LNisu2jUR8s_30000	0.446	1.02	/m/032s66
LnL3KFKGqHE_30000	9.477	10.0	/m/032s66
Lxti4ImPVy8_270000	6.764	7.764	/m/032s66
Lxti4ImPVy8_270000	7.764	8.291	/m/032s66
N1Cdp1ihSqQ_150000	8.181	8.598	/m/032s66
OL90w0OzNxs_10000	4.387	4.574	/m/032s66
OL90w0OzNxs_10000	4.687	4.866	/m/032s66
OL90w0OzNxs_10000	4.98	5.167	/m/032s66
OWK-G6AYFxg_20000	4.217	5.217	/m/04zjc
OWK-G6AYFxg_20000	5.217	6.217	/m/04zjc
OWK-G6AYFxg_20000	6.217	7.217	/m/04zjc
OWK-G6AYFxg_20000	7.217	8.216999999999999	/m/04zjc
OWK-G6AYFxg_20000	8.216999999999999	9.216999999999999	/m/04zjc
OWK-G6AYFxg_20000	9.216999999999999	10.0	/m/04zjc
OaEVzIzkKSI_20000	7.835	8.835	/m/032s66
OaEVzIzkKSI_20000	8.835	9.835	/m/032s66
OaEVzIzkKSI_20000	9.0	10.0	/m/032s66
P-g2_WH2GWs_150000	9.182	10.0	/m/032s66
PRAzzq2gL8o_30000	0.291	1.291	/m/032s66
PRAzzq2gL8o_30000	1.291	1.929	/m/032s66
QP4dmDqm5e4_5000	1.305	1.907	/m/04zjc
QP4dmDqm5e4_5000	1.982	2.59	/m/04zjc
QP4dmDqm5e4_5000	2.666	3.666	/m/04zjc
QP4dmDqm5e4_5000	3.666	4.666	/m/04zjc
QP4dmDqm5e4_5000	3.798	4.798	/m/04zjc
QP4dmDqm5e4_5000	7.525	8.525	/m/04zjc
QP4dmDqm5e4_5000	8.525	9.473	/m/04zjc
QUGkvY7S2XQ_120000	0.0	1.0	/m/032s66
QUGkvY7S2XQ_120000	0.33899999999999997	1.339	/m/032s66
QbDUiPdOHfA_10000	1.285	2.025	/m/032s66
QbDUiPdOHfA_10000	3.059	3.715	/m/032s66
QbDUiPdOHfA_10000	4.93	5.615	/m/032s66
R3IYlCJ8GRU_10000	0.008	1.008	/m/032s66
R3IYlCJ8GRU_10000	0.1120000000000001	1.112	/m/032s66
R3IYlCJ8GRU_10000	3.078	4.077999999999999	/m/032s66
R3IYlCJ8GRU_10000	4.077999999999999	5.077999999999999	/m/032s66
R3IYlCJ8GRU_10000	5.077999999999999	6.077999999999999	/m/032s66
R3IYlCJ8GRU_10000	6.077999999999999	7.077999999999999	/m/032s66
R3IYlCJ8GRU_10000	7.077999999999999	8.078	/m/032s66
R3IYlCJ8GRU_10000	8.078	9.078	/m/032s66
R3IYlCJ8GRU_10000	9.078	10.0	/m/032s66
RGHV9SX-ABo_0	3.664	4.018	/m/032s66
RGHV9SX-ABo_0	6.938	7.306	/m/032s66
RGHV9SX-ABo_0	8.947	9.293	/m/032s66
SQks9YPvKOg_40000	7.732	8.732	/m/032s66
SQks9YPvKOg_40000	8.732	9.732	/m/032s66
SQks9YPvKOg_40000	9.0	10.0	/m/032s66
SSvx7pLqilw_330000	8.465	8.898	/m/032s66
SSvx7pLqilw_330000	1.471	2.471	/m/04zjc
SSvx7pLqilw_330000	2.471	3.471	/m/04zjc
SSvx7pLqilw_330000	3.471	4.471	/m/04zjc
SSvx7pLqilw_330000	3.572	4.572	/m/04zjc
U401_Khb3wM_10000	7.266	8.266	/m/04zjc
U401_Khb3wM_10000	8.266	9.266	/m/04zjc
U401_Khb3wM_10000	9.266	10.0	/m/04zjc
UOJHyV0Fr6k_50000	0.0	1.0	/m/04zjc
UOJHyV0Fr6k_50000	1.0	2.0	/m/04zjc
UOJHyV0Fr6k_50000	2.0	2.815	/m/04zjc
UTG6-04IRPo_30000	8.764	9.764	/m/04zjc
UTG6-04IRPo_30000	9.0	10.0	/m/04zjc
UmTBIcf-FeE_50000	7.102	7.441	/m/032s66
VhXGhS2jroQ_160000	3.961	4.843	/m/04zjc
Vvqxo6MUQ6U_180000	3.385	3.807	/m/032s66
WA49Qjw52lg_10000	0.0	1.0	/m/04zjc
WA49Qjw52lg_10000	1.0	2.0	/m/04zjc
WA49Qjw52lg_10000	2.0	3.0	/m/04zjc
WA49Qjw52lg_10000	3.0	4.0	/m/04zjc
WA49Qjw52lg_10000	4.0	5.0	/m/04zjc
WA49Qjw52lg_10000	5.0	6.0	/m/04zjc
WA49Qjw52lg_10000	6.0	7.0	/m/04zjc
WA49Qjw52lg_10000	7.0	8.0	/m/04zjc
WA49Qjw52lg_10000	8.0	9.0	/m/04zjc
WA49Qjw52lg_10000	9.0	10.0	/m/04zjc
XQULlkyFPx0_50000	4.864	5.864	/m/032s66
XQULlkyFPx0_50000	5.864	6.864	/m/032s66
XQULlkyFPx0_50000	6.864	7.864	/m/032s66
XQULlkyFPx0_50000	7.864	8.864	/m/032s66
XQULlkyFPx0_50000	8.864	9.864	/m/032s66
XQULlkyFPx0_50000	9.0	10.0	/m/032s66
Xg0R7tdVEAg_96000	5.213	5.52	/m/073cg4
Xjg8RJGMznc_9000	0.0	1.0	/m/04zjc
Xjg8RJGMznc_9000	1.0	1.943	/m/04zjc
Xjg8RJGMznc_9000	6.3	6.561	/m/032s66
XkRPrxuuD9U_0	2.882	3.055	/m/032s66
XkRPrxuuD9U_0	3.228	3.378	/m/032s66
XkRPrxuuD9U_0	3.528	3.693	/m/032s66
XkRPrxuuD9U_0	3.843	4.197	/m/032s66
XkRPrxuuD9U_0	4.315	4.512	/m/032s66
XkRPrxuuD9U_0	4.677	5.165	/m/032s66
XkRPrxuuD9U_0	5.315	5.512	/m/032s66
ZVuCcF6_6_4_0	0.835	1.835	/m/04zjc
ZVuCcF6_6_4_0	1.835	2.835	/m/04zjc
ZVuCcF6_6_4_0	2.835	3.835	/m/04zjc
ZVuCcF6_6_4_0	3.835	4.835	/m/04zjc
ZVuCcF6_6_4_0	4.835	5.401	/m/04zjc
ZmjwAXPM2V0_0	3.519	4.134	/m/032s66
_gcgRwq1AJ8_30000	0.008	1.008	/m/04zjc
_gcgRwq1AJ8_30000	1.008	2.008	/m/04zjc
_gcgRwq1AJ8_30000	2.008	3.008	/m/04zjc
_gcgRwq1AJ8_30000	3.008	4.008	/m/04zjc
_gcgRwq1AJ8_30000	4.008	5.008	/m/04zjc
_gcgRwq1AJ8_30000	4.155	5.155	/m/04zjc
