segment_id	start_time_seconds	end_time_seconds	label
052BOxtN3G0_130000	0.015	0.523	/m/032s66
052BOxtN3G0_130000	1.053	1.576	/m/032s66
052BOxtN3G0_130000	8.955	9.779	/m/032s66
06-g5jz-OGc_20000	0.0	0.236	/m/04zjc
06-g5jz-OGc_20000	0.409	0.559	/m/032s66
06-g5jz-OGc_20000	4.85	5.181	/m/04zjc
06-g5jz-OGc_20000	5.315	5.882	/m/04zjc
06-g5jz-OGc_20000	6.024	10.0	/m/04zjc
0S4hnlDVZ0g_0	0.147	4.0	/m/032s66
0wOWAMJAYFo_50000	1.76	2.221	/m/032s66
10a2BsqFnyM_200000	7.329	8.819	/m/032s66
2R-LER60cTU_30000	0.472	0.701	/m/032s66
3AWUaEtoosk_30000	0.098	1.536	/m/032s66
3AWUaEtoosk_30000	1.83	2.109	/m/032s66
3HS62RqcXZ0_30000	0.0	10.0	/m/04zjc
4T2sS5ipPO8_270000	2.937	7.299	/m/04zjc
4cpEv-3epJI_0	2.748	4.924	/m/04zjc
4oLGWPSXlKs_20000	0.741	2.482	/m/032s66
4rMeV-zdgfg_30000	7.669	7.872	/m/032s66
5Mhx9k5DE7A_170000	7.355	10.0	/m/032s66
5NdGjCUrDW8_0	0.138	0.967	/m/04zjc
5_2cX0MOyfQ_150000	2.684	5.189	/m/032s66
5_2cX0MOyfQ_150000	9.074	9.2	/m/073cg4
5sFNXRvMbIg_30000	0.0	10.0	/m/04zjc
66BGqdxWVsE_0	0.225	2.889	/m/032s66
66BGqdxWVsE_0	3.052	4.782	/m/032s66
6kLMxmflLLQ_30000	5.922	6.153	/m/032s66
6yas2rnGjlM_30000	5.31	5.803	/m/032s66
76yqRLm1eRI_7000	3.612	4.813	/m/032s66
8QOCOi3sm-E_30000	0.753	1.135	/m/032s66
8QOCOi3sm-E_30000	1.273	2.085	/m/032s66
8eQxKfJApNM_10000	4.508	4.708	/m/032s66
8eQxKfJApNM_10000	8.417	8.616	/m/032s66
8eQxKfJApNM_10000	8.802	8.973	/m/032s66
9BK3VKfa3qE_6000	0.986	1.615	/m/032s66
9GptFm2hTvI_2000	0.901	1.366	/m/032s66
9HqreasyRf8_0	1.785	4.283	/m/032s66
Au5NjQaR_T0_340000	4.425	4.587	/m/073cg4
B30DxKc3vVQ_30000	7.494	10.0	/m/032s66
B30DxKc3vVQ_30000	8.33	9.53	/m/04zjc
Bpao4M5dNsU_12000	1.121	2.244	/m/04zjc
Bpao4M5dNsU_12000	2.78	3.183	/m/04zjc
Bpao4M5dNsU_12000	6.647	8.769	/m/04zjc
C_8JbROCA7s_30000	0.192	0.41	/m/032s66
C_8JbROCA7s_30000	0.55	0.691	/m/032s66
Cjg0Yy1Q4FU_30000	3.575	3.843	/m/032s66
D1cBJyZNkns_50000	0.0	0.197	/m/032s66
D1cBJyZNkns_50000	0.299	0.709	/m/032s66
D1cBJyZNkns_50000	1.173	3.701	/m/032s66
D1cBJyZNkns_50000	3.811	5.551	/m/032s66
E0aHOpSmsjA_350000	5.228	5.614	/m/032s66
EcXqC-0Z8i8_160000	6.78	10.0	/m/073cg4
EcwfO5SpFdA_60000	0.0	10.0	/m/04zjc
FAGmm-dNfnw_30000	7.047	10.0	/m/04zjc
FnTLC9YCPeo_130000	0.943	2.548	/m/032s66
FnTLC9YCPeo_130000	5.295	6.576	/m/032s66
FnTLC9YCPeo_130000	8.343	9.043	/m/032s66
FnTLC9YCPeo_130000	9.139	10.0	/m/032s66
Gi2hxPsU8d8_0	5.744	6.727	/m/032s66
IGfhG3kF1RY_4000	5.172	6.565	/m/032s66
IGfhG3kF1RY_4000	6.735	7.867	/m/032s66
IhkpGd4cuss_19000	3.332	4.098	/m/032s66
IhkpGd4cuss_19000	4.34	5.196	/m/032s66
IhkpGd4cuss_19000	5.323	6.204	/m/032s66
IhkpGd4cuss_19000	6.344	7.161	/m/032s66
IhkpGd4cuss_19000	7.34	8.183	/m/032s66
JHCmkLO5Do8_140000	0.0	8.044	/m/04zjc
JgqMf7_msjs_580000	9.036	9.783	/m/04zjc
Jy98Qu1T0lo_0	1.713	2.507	/m/032s66
Jy98Qu1T0lo_0	2.605	3.326	/m/032s66
Jy98Qu1T0lo_0	3.405	4.152	/m/032s66
Jy98Qu1T0lo_0	4.252	4.973	/m/032s66
KfAWJOxtUyA_0	4.168	5.962	/m/04zjc
KwySwOCTHo8_0	0.181	1.646	/m/032s66
LMGzDwYCT3E_0	6.789	7.28	/m/032s66
LNisu2jUR8s_30000	0.446	1.02	/m/032s66
LnL3KFKGqHE_30000	9.477	10.0	/m/032s66
Lxti4ImPVy8_270000	6.764	8.291	/m/032s66
N1Cdp1ihSqQ_150000	8.181	8.598	/m/032s66
OL90w0OzNxs_10000	4.387	4.574	/m/032s66
OL90w0OzNxs_10000	4.687	4.866	/m/032s66
OL90w0OzNxs_10000	4.98	5.167	/m/032s66
OWK-G6AYFxg_20000	4.217	10.0	/m/04zjc
OaEVzIzkKSI_20000	7.835	10.0	/m/032s66
P-g2_WH2GWs_150000	9.182	10.0	/m/032s66
PRAzzq2gL8o_30000	0.291	1.929	/m/032s66
QP4dmDqm5e4_5000	1.305	1.907	/m/04zjc
QP4dmDqm5e4_5000	1.982	2.59	/m/04zjc
QP4dmDqm5e4_5000	2.666	4.798	/m/04zjc
QP4dmDqm5e4_5000	7.525	9.473	/m/04zjc
QUGkvY7S2XQ_120000	0.0	1.339	/m/032s66
QbDUiPdOHfA_10000	1.285	2.025	/m/032s66
QbDUiPdOHfA_10000	3.059	3.715	/m/032s66
QbDUiPdOHfA_10000	4.93	5.615	/m/032s66
R3IYlCJ8GRU_10000	0.008	1.112	/m/032s66
R3IYlCJ8GRU_10000	3.078	10.0	/m/032s66
RGHV9SX-ABo_0	3.664	4.018	/m/032s66
RGHV9SX-ABo_0	6.938	7.306	/m/032s66
RGHV9SX-ABo_0	8.947	9.293	/m/032s66
SQks9YPvKOg_40000	7.732	10.0	/m/032s66
SSvx7pLqilw_330000	8.465	8.898	/m/032s66
SSvx7pLqilw_330000	1.471	4.572	/m/04zjc
U401_Khb3wM_10000	7.266	10.0	/m/04zjc
UOJHyV0Fr6k_50000	0.0	2.815	/m/04zjc
UTG6-04IRPo_30000	8.764	10.0	/m/04zjc
UmTBIcf-FeE_50000	7.102	7.441	/m/032s66
VhXGhS2jroQ_160000	3.961	4.843	/m/04zjc
Vvqxo6MUQ6U_180000	3.385	3.807	/m/032s66
WA49Qjw52lg_10000	0.0	10.0	/m/04zjc
XQULlkyFPx0_50000	4.864	10.0	/m/032s66
Xg0R7tdVEAg_96000	5.213	5.52	/m/073cg4
Xjg8RJGMznc_9000	0.0	1.943	/m/04zjc
Xjg8RJGMznc_9000	6.3	6.561	/m/032s66
XkRPrxuuD9U_0	2.882	3.055	/m/032s66
XkRPrxuuD9U_0	3.228	3.378	/m/032s66
XkRPrxuuD9U_0	3.528	3.693	/m/032s66
XkRPrxuuD9U_0	3.843	4.197	/m/032s66
XkRPrxuuD9U_0	4.315	4.512	/m/032s66
XkRPrxuuD9U_0	4.677	5.165	/m/032s66
XkRPrxuuD9U_0	5.315	5.512	/m/032s66
ZVuCcF6_6_4_0	0.835	5.401	/m/04zjc
ZmjwAXPM2V0_0	3.519	4.134	/m/032s66
_gcgRwq1AJ8_30000	0.008	5.155	/m/04zjc
aZGnZwsMgSw_0	2.655	4.053	/m/032s66
bB7X0G4F5lI_100000	0.0	0.271	/m/032s66
bB7X0G4F5lI_100000	0.978	1.701	/m/032s66
bB7X0G4F5lI_100000	5.056	5.764	/m/032s66
bB7X0G4F5lI_100000	7.193	7.818	/m/032s66
bGIPmIBc7SM_0	7.964	8.924	/m/04zjc
bGIPmIBc7SM_0	9.232	10.0	/m/04zjc
c5yt_I7eCgc_30000	2.889	3.271	/m/032s66
c5yt_I7eCgc_30000	3.758	4.059	/m/032s66
c5yt_I7eCgc_30000	4.457	4.88	/m/032s66
c5yt_I7eCgc_30000	5.237	5.594	/m/032s66
c5yt_I7eCgc_30000	5.936	6.277	/m/032s66
cec5b9fU4xs_30000	0.315	0.799	/m/04zjc
cec5b9fU4xs_30000	1.85	2.044	/m/04zjc
cec5b9fU4xs_30000	2.127	2.417	/m/032s66
e76fqQlZbwI_30000	5.998	7.42	/m/032s66
e76fqQlZbwI_30000	7.603	10.0	/m/032s66
eZ-c970oqXg_390000	6.272	8.37	/m/04zjc
f3WpHMYj8Yw_0	6.439	8.253	/m/032s66
fEYVxrTa3vA_30000	8.087	8.614	/m/073cg4
h7i5ztCYmXU_40000	3.165	3.85	/m/032s66
h7i5ztCYmXU_40000	4.465	5.142	/m/032s66
iGJQhxoj3gI_11000	0.0	4.256	/m/032s66
iOlNfTRwd7A_80000	0.0	1.087	/m/032s66
irQsMzIx6-A_30000	0.416	1.544	/m/04zjc
j1rMLzpK-AY_40000	0.0	0.619	/m/032s66
jhxMyKQLd1I_0	0.265	4.874	/m/04zjc
kn0FT7Msebc_10000	3.296	10.0	/m/04zjc
l8-I93IxkD0_0	5.751	5.869	/m/032s66
l8-I93IxkD0_0	5.994	8.027	/m/032s66
lYQlw5JfGOM_0	5.546	6.56	/m/04zjc
lYQlw5JfGOM_0	9.42	10.0	/m/032s66
npk42-xPBBs_360000	7.89	8.317	/m/032s66
o3GmHxCSQkw_0	3.898	6.157	/m/032s66
ofr1boZtwLw_70000	0.866	1.887	/m/032s66
ofr1boZtwLw_70000	7.877	9.134	/m/032s66
ofr1boZtwLw_70000	9.637	10.0	/m/032s66
piSLZyTd8J4_10000	0.0	3.764	/m/04zjc
q1Wz4VECyIs_100000	7.1	8.322	/m/04zjc
s4lF-5ItUx0_9000	8.061	8.883	/m/032s66
s4lF-5ItUx0_9000	5.941	8.035	/m/04zjc
sKMqxqjHbYM_4000	5.092	5.355	/m/032s66
sQ4_H3LSO6E_10000	0.0	1.321	/m/032s66
tWHR1dhKZSs_160000	1.938	2.655	/m/032s66
uCJ7RfmiBWA_20000	4.801	5.417	/m/04zjc
uGvE9PYnY7U_0	0.964	1.257	/m/032s66
uGvE9PYnY7U_0	1.453	1.774	/m/032s66
v6NvNFVNI8k_9000	0.0	0.229	/m/073cg4
v6NvNFVNI8k_9000	4.744	4.99	/m/073cg4
v6NvNFVNI8k_9000	8.201	8.474	/m/073cg4
vO1KPdQo3tw_30000	0.815	3.132	/m/04zjc
vO1KPdQo3tw_30000	5.774	8.103	/m/04zjc
vfYvVQsEgWw_420000	7.381	9.348	/m/032s66
vylwE8uITqc_0	0.0	0.567	/m/04zjc
wnNNhtEgSWo_120000	6.074	10.0	/m/04zjc
xhdTIGF3b7M_0	3.537	8.239	/m/04zjc
xiNceNI6kvo_110000	9.418	10.0	/m/04zjc
xssKyvkbnZM_60000	1.929	2.986	/m/032s66
yiVs6VJQlu0_2000	0.0	0.387	/m/032s66
ymBgUPkMM48_0	3.174	3.369	/m/032s66
ymBgUPkMM48_0	3.515	3.799	/m/032s66
ymBgUPkMM48_0	4.116	4.286	/m/032s66
ymBgUPkMM48_0	4.425	4.636	/m/032s66
ymBgUPkMM48_0	4.847	5.091	/m/032s66
ymBgUPkMM48_0	5.359	6.171	/m/032s66
ymBgUPkMM48_0	6.301	6.569	/m/032s66
yqD0PKXCP_c_220000	5.378	5.583	/m/032s66
yqD0PKXCP_c_220000	5.903	6.146	/m/032s66
yqD0PKXCP_c_220000	6.633	6.863	/m/032s66
yqD0PKXCP_c_220000	7.106	7.388	/m/032s66
yqD0PKXCP_c_220000	8.988	9.245	/m/032s66
yqD0PKXCP_c_220000	9.77	10.0	/m/032s66
zAmi0rAWt0s_0	0.053	4.053	/m/04zjc
zH1HMCVzl3E_0	0.056	1.828	/m/04zjc
zJM7knkHRwc_0	4.272	4.911	/m/032s66
