segment_id	start_time_seconds	end_time_seconds	label
--aaILOrkII_200000	0.88	1.201	/m/073cg4
--aaILOrkII_200000	1.69	2.039	/m/073cg4
--aaILOrkII_200000	2.626	3.017	/m/073cg4
--aaILOrkII_200000	3.617	4.064	/m/073cg4
--v7FsvvYng_40000	3.634	3.966	/m/032s66
--v7FsvvYng_40000	4.257	4.658	/m/032s66
--v7FsvvYng_40000	4.879	5.232	/m/032s66
--v7FsvvYng_40000	7.128	7.625	/m/032s66
--v7FsvvYng_40000	8.081	8.489	/m/032s66
--v7FsvvYng_40000	9.008	9.34	/m/032s66
-7gPr2vlKkA_30000	6.3	6.684	/m/04zjc
-7gPr2vlKkA_30000	8.399	8.553	/m/032s66
-7gPr2vlKkA_30000	8.809	9.117	/m/032s66
-Ao2rEP82SU_30000	1.881	2.16	/m/032s66
-CoMUv2igfk_12000	0.508	1.145	/m/032s66
-DLL8LaKq-c_19000	0.224	0.964	/m/032s66
-LzsgrGPV6o_30000	0.473	1.15	/m/04zjc
-LzsgrGPV6o_30000	1.565	2.145	/m/04zjc
-LzsgrGPV6o_30000	3.101	4.126	/m/04zjc
-LzsgrGPV6o_30000	4.705	5.42	/m/04zjc
-LzsgrGPV6o_30000	6.145	6.85	/m/04zjc
-LzsgrGPV6o_30000	7.101	7.488	/m/04zjc
-LzsgrGPV6o_30000	7.894	8.57	/m/04zjc
-LzsgrGPV6o_30000	9.024	10.0	/m/04zjc
-MgaFLJT5GM_30000	9.589	10.0	/m/04zjc
-OXsmAit7lM_30000	2.093	2.34	/m/04zjc
-OXsmAit7lM_30000	2.457	5.598	/m/04zjc
-OXsmAit7lM_30000	6.622	9.681	/m/04zjc
-Pp0sXXL44o_18000	5.17	5.586	/m/032s66
-RAdrtCW1hI_70000	5.652	5.797	/m/032s66
-RAdrtCW1hI_70000	6.242	6.387	/m/032s66
-RAdrtCW1hI_70000	7.353	7.556	/m/032s66
-RAdrtCW1hI_70000	7.884	8.077	/m/032s66
-RAdrtCW1hI_70000	8.377	8.551	/m/032s66
-RAdrtCW1hI_70000	8.86	9.053	/m/032s66
-RAdrtCW1hI_70000	9.295	9.536	/m/032s66
-RAdrtCW1hI_70000	9.768	10.0	/m/032s66
