segment_id	start_time_seconds	end_time_seconds	label
-xNzcshM6Bo_0	0.0	0.511	/m/07q0yl5
9Jxb8MPbFps_0	3.401	4.27	/m/07q0yl5
AKLiW8ibjIE_10000	0.585	1.869	/m/01d3sd
AKLiW8ibjIE_10000	4.246	5.47	/m/01d3sd
Bdm7GjyAxG0_30000	1.642	3.417	/m/01d3sd
DOzc8GAQq8A_20000	0.0	1.433	/m/01d3sd
JrW9JQiicGo_80000	0.0	0.519	/m/01d3sd
KjinuQ4NkyA_0	0.655	1.451	/m/01d3sd
KjinuQ4NkyA_0	4.343	5.123	/m/01d3sd
KjinuQ4NkyA_0	9.087	9.778	/m/01d3sd
LtT1PcFo-yo_420000	3.22	5.74	/m/01d3sd
Mv3KY0eJ2MY_50000	4.186	5.172	/m/01d3sd
PuVg4OWi2KM_150000	7.642	8.937	/m/01d3sd
QWtIBAzcJTM_0	5.266	6.265	/m/01d3sd
RhUts2JfDMI_180000	8.878	10.0	/m/01d3sd
T3DaOW2TzUI_140000	0.059	1.628	/m/01d3sd
T3DaOW2TzUI_140000	3.174	4.654	/m/01d3sd
T3DaOW2TzUI_140000	6.156	6.547	/m/01d3sd
T3DaOW2TzUI_140000	6.745	7.894	/m/01d3sd
T3DaOW2TzUI_140000	9.293	10.0	/m/01d3sd
cYcW-P_v3gw_30000	4.354	5.142	/m/01d3sd
dp1uFuH3VsY_40000	0.391	2.109	/m/01d3sd
eA3WyiYRHYY_40000	0.0	1.492	/m/01d3sd
hbunvYALHwU_110000	7.235	8.74	/m/07q0yl5
j0GKVcl-uRc_60000	8.349	9.599	/m/01d3sd
j0GKVcl-uRc_60000	9.851	10.0	/m/01d3sd
kEhGyDSfndQ_0	7.055	7.37	/m/01d3sd
kEhGyDSfndQ_0	7.717	8.197	/m/01d3sd
l7U0yGYRHEE_30000	3.386	5.157	/m/01d3sd
paWd0AqTGzA_20000	0.008	1.399	/m/01d3sd
paWd0AqTGzA_20000	1.554	2.614	/m/01d3sd
paWd0AqTGzA_20000	3.019	3.748	/m/01d3sd
paWd0AqTGzA_20000	3.851	5.118	/m/01d3sd
paWd0AqTGzA_20000	5.332	6.687	/m/01d3sd
paWd0AqTGzA_20000	6.952	8.277	/m/01d3sd
paWd0AqTGzA_20000	8.623	10.0	/m/01d3sd
r3AUml4dYQU_30000	5.107	8.226	/m/01d3sd
r9O_XUaqJyI_30000	9.654	10.0	/m/01d3sd
rTHLYwJkfFE_100000	1.385	2.05	/m/01d3sd
sKFJfY7PPfc_0	9.417	10.0	/m/01d3sd
xWHmuYg_wWs_150000	3.799	7.109	/m/01d3sd
