segment_id	start_time_seconds	end_time_seconds	label
-7xDzCwyAco_30000	0.377	1.504	/m/01d3sd
-7xDzCwyAco_30000	2.957	4.402	/m/01d3sd
-7xDzCwyAco_30000	5.633	6.981	/m/01d3sd
-7xDzCwyAco_30000	8.226	9.651	/m/01d3sd
-81GPDp9IQY_20000	5.984	8.401	/m/01d3sd
-DexfVugZDE_0	0.986	2.989	/m/01d3sd
-Jj2dA1dCSE_30000	4.481	4.912	/m/07q0yl5
-NrpfrEGq5w_40000	0.505	0.725	/m/01d3sd
-NrpfrEGq5w_40000	1.653	1.866	/m/01d3sd
-NrpfrEGq5w_40000	3.055	3.344	/m/01d3sd
-NrpfrEGq5w_40000	4.354	4.67	/m/01d3sd
-NrpfrEGq5w_40000	6.313	6.567	/m/01d3sd
-NrpfrEGq5w_40000	7.804	8.093	/m/01d3sd
-NrpfrEGq5w_40000	9.199	9.467	/m/01d3sd
-NsUQ2A0ClQ_0	6.155	7.015	/m/01d3sd
-w1aSUQPcf4_30000	1.373	2.201	/m/07q0yl5
-w1aSUQPcf4_30000	4.094	4.379	/m/07q0yl5
01i68fQIo1o_100000	0.292	0.815	/m/01d3sd
01i68fQIo1o_100000	2.67	3.839	/m/01d3sd
01i68fQIo1o_100000	5.969	7.289	/m/01d3sd
01i68fQIo1o_100000	9.598	10.0	/m/01d3sd
0IMorrErsv0_50000	0.623	2.101	/m/01d3sd
0IMorrErsv0_50000	4.067	5.326	/m/01d3sd
0IMorrErsv0_50000	7.04	8.316	/m/01d3sd
0JDlM0Wolms_0	1.591	2.189	/m/07q0yl5
0NgKGcIkHPM_50000	0.647	2.142	/m/01d3sd
0NgKGcIkHPM_50000	4.092	5.692	/m/01d3sd
0NgKGcIkHPM_50000	7.512	9.022	/m/01d3sd
0NvRnSZo_yw_0	0.564	1.234	/m/01d3sd
0NvRnSZo_yw_0	1.896	2.415	/m/01d3sd
0NvRnSZo_yw_0	6.546	7.625	/m/01d3sd
